"","gpl","bioc_package","title"
"31","GPL100","hu35ksubc","[Hu35KsubC] Affymetrix Human 35K SubC Array"
"32","GPL101","hu35ksubd","[Hu35KsubD] Affymetrix Human 35K SubD Array"
"33","GPL198","ath1121501","[ATH1-121501] Affymetrix Arabidopsis ATH1 Genome Array"
"34","GPL199","ecoli2","[Ecoli_ASv2] Affymetrix E. coli Antisense Genome Array"
"35","GPL200","celegans","[Celegans] Affymetrix C. elegans Genome Array"
"36","GPL201","hgfocus","[HG-Focus] Affymetrix Human HG-Focus Target Array"
"37","GPL339","moe430a","[MOE430A] Affymetrix Mouse Expression 430A Array"
"38","GPL340","mouse4302","[MOE430B] Affymetrix Mouse Expression 430B Array"
"39","GPL341","rae230a","[RAE230A] Affymetrix Rat Expression 230A Array"
"40","GPL342","rae230b","[RAE230B] Affymetrix Rat Expression 230B Array"
"41","GPL570","hgu133plus2","[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"
"42","GPL571","hgu133a2","[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array"
"43","GPL886","hgug4111a","Agilent-011871 Human 1B Microarray G4111A (Feature Number version)"
"44","GPL887","hgug4110b","Agilent-012097 Human 1A Microarray (V2) G4110B (Feature Number version)"
"45","GPL1261","mouse430a2","[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array"
"46","GPL1318","xenopuslaevis","[Xenopus_laevis] Affymetrix Xenopus laevis Genome Array"
"47","GPL1319","zebrafish","[Zebrafish] Affymetrix Zebrafish Genome Array"
"48","GPL1322","drosophila2","[Drosophila_2] Affymetrix Drosophila Genome 2.0 Array"
"49","GPL1352","u133x3p","[U133_X3P] Affymetrix Human X3P Array"
"50","GPL1355","rat2302","[Rat230_2] Affymetrix Rat Genome 230 2.0 Array"
"51","GPL1708","hgug4112a","Agilent-012391 Whole Human Genome Oligo Microarray G4112A (Feature Number version)"
"52","GPL2112","bovine","[Bovine] Affymetrix Bovine Genome Array"
"53","GPL2529","yeast2","[Yeast_2] Affymetrix Yeast Genome 2.0 Array"
"54","GPL2891","h20kcod","GE Healthcare/Amersham Biosciences CodeLink™   UniSet Human 20K I Bioarray"
"55","GPL2898","adme16cod","GE Healthcare/Amersham Biosciences CodeLink™   ADME Rat 16-Assay Bioarray"
"56","GPL3154","ecoli2","[E_coli_2] Affymetrix E. coli Genome 2.0 Array"
"57","GPL3213","chicken","[Chicken] Affymetrix Chicken Genome Array"
"58","GPL3533","porcine","[Porcine] Affymetrix Porcine Genome Array"
"59","GPL3738","canine2","[Canine_2] Affymetrix Canine Genome 2.0 Array"
"60","GPL3921","hthgu133a","[HT_HG-U133A] Affymetrix HT Human Genome U133A Array"
"61","GPL3979","canine","[Canine] Affymetrix Canine Genome 1.0 Array"
"62","GPL4032","","[Maize] Affymetrix Maize Genome Array"
"63","GPL4191","h10kcod","CodeLink UniSet Human I Bioarray"
"64","GPL5689","hgug4100a","Agilent Human 1 cDNA Microarray (G4100A) [layout C]"
"65","GPL6097","illuminaHumanv1","Illumina human-6 v1.0 expression beadchip"
"66","GPL6102","illuminaHumanv2","Illumina human-6 v2.0 expression beadchip"
"67","GPL6244","hugene10sttranscriptcluster","[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]"
"68","GPL6947","illuminaHumanv3","Illumina HumanHT-12 V3.0 expression beadchip"
"69","GPL8300","hgu95av2","[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array"
"70","GPL8490","IlluminaHumanMethylation27k","Illumina HumanMethylation27 BeadChip (HumanMethylation27_270596_v.1.2)"
"71","GPL10558","illuminaHumanv4","Illumina HumanHT-12 V4.0 expression beadchip"
"72","GPL11532","hugene11sttranscriptcluster","[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version]"
"73","GPL13497","HsAgilentDesign026652","Agilent-026652 Whole Human Genome Microarray 4x44K v2 (Probe Name version)"
"74","GPL13534","IlluminaHumanMethylation450k","Illumina HumanMethylation450 BeadChip (HumanMethylation450_15017482)"
"75","GPL13667","hgu219","[HG-U219] Affymetrix Human Genome U219 Array"
"76","GPL15380","GGHumanMethCancerPanelv1","Illumina Sentrix Array Matrix (SAM) - GoldenGate Methylation Cancer Panel I"
"77","GPL15396","hthgu133b","[HT_HG-U133B] Affymetrix HT Human Genome U133B Array [custom CDF: ENTREZ brainarray v. 14]"
"78","GPL17897","hthgu133a","[HT_HG-U133A] Affymetrix Human Genome U133A Array (custom CDF: HTHGU133A_Hs_ENTREZG.cdf version 17.0.0)"
